,Brand,Type,Coe_left(yrs),Dep($),Mileage(mile),Road Tax($),Dereg Value($),COE($),Engine Cap(cc),Curb Weight(kg),Manufactured(yrs),Transmission,OMV($),ARF($),Power,No. of Owners,Price($)
0,Honda,SUV,4,10310,50000,682,31237,56001,1496,1190,6,1,19775,9775,96,2,49800
1,Suzuki,Hatchback,1,8210,203000,1030,6656,21349,1586,1060,14,0,12154,13370,92,2,12800
2,Porsche,Sports Car,6,34200,21000,1200,106829,50110,1988,1365,4,1,71979,101563,220,1,259988
3,Hyundai,Mid-Sized Sedan,3,11010,35000,738,31339,64900,1591,1292,7,1,13856,13856,97,1,44800
4,Kia,Mid-Sized Sedan,8,9450,21200,738,38416,30009,1591,1287,3,1,18894,18894,93,1,85800
5,BMW,Luxury Sedan,1,17610,170000,1210,33118,86889,1997,1420,9,1,38514,38514,135,2,45600
6,Mitsubishi,Mid-Sized Sedan,6,7470,251000,1694,30648,44998,1998,1427,14,1,17722,17722,114,2,50900
7,Mercedes-Benz,Luxury Sedan,4,18450,84000,1202,70842,50089,1991,1680,6,1,52959,67327,155,2,120999
8,Mercedes-Benz,Luxury Sedan,3,18550,98000,740,47541,68668,1595,1425,6,1,35392,31549,115,1,88800
9,Audi,Sports Car,9,11280,105000,2618,37909,40014,2995,1755,11,1,64519,64519,245,5,106888
10,Mazda,Mid-Sized Sedan,4,10100,108138,682,34406,57498,1496,1321,6,1,18235,13235,88,1,50800
11,Toyota,MPV,7,9310,29339,682,32480,25556,1496,1325,3,1,17699,17699,79,1,78800
12,Toyota,MPV,6,10720,49000,682,36490,44002,1496,1320,5,1,21145,11603,80,1,73500
13,Honda,MPV,7,6340,142000,1271,23790,31553,1799,1350,13,1,17982,17982,103,4,47800
14,Mazda,Mid-Sized Sedan,3,10690,102000,682,26681,65889,1496,1339,7,1,14208,5000,88,2,40500
15,BMW,Luxury Sedan,5,14440,65800,684,49546,55100,1499,1425,5,1,29816,28743,100,1,87800
16,Audi,Luxury Sedan,5,11500,90000,392,40968,50889,999,1280,5,1,24614,16460,85,2,72888
17,BMW,Luxury Sedan,8,19620,26339,1210,83562,40009,1998,1530,2,1,52437,66387,135,1,198800
18,BMW,SUV,9,28220,14000,2384,110552,37102,2998,1845,1,1,72244,102040,285,1,309800
19,BMW,Luxury Sedan,6,11260,133000,3307,34074,50578,2979,1535,14,0,66046,66046,225,1,75888
20,Mercedes-Benz,Hatchback,8,14490,22500,586,60868,39728,1332,1375,2,1,33259,38563,120,2,135800
21,Honda,Mid-Sized Sedan,5,12750,80000,684,48059,57010,1498,1324,5,1,26078,23510,127,1,79800
22,BMW,SUV,9,23840,5072,1210,91488,40790,1998,1750,1,1,59276,78697,185,1,262800
23,BMW,MPV,7,12660,49317,684,49819,29159,1499,1490,2,1,31249,35749,80,1,117800
24,Mitsubishi,Mid-Sized Sedan,4,8500,48752,506,28516,57498,1193,940,6,1,13062,5000,57,1,39500
25,BMW,SUV,9,22190,5366,1210,81505,38110,1998,1745,1,1,53451,68212,185,1,239800
26,Toyota,Mid-Sized Sedan,8,5830,101300,821,27421,31976,1497,1095,12,1,12717,12717,80,4,49988
27,Audi,Luxury Sedan,7,11460,66041,624,42780,32302,1395,1320,3,1,23548,24968,110,1,97800
28,Honda,Stationwagon,5,10140,63584,682,32162,52301,1496,1130,6,1,16869,6869,97,4,55800
29,Volkswagen,Mid-Sized Sedan,4,9170,65023,620,35451,55889,1390,1417,6,1,17505,17505,90,1,46800
30,BMW,SUV,7,16160,34503,1210,59155,32551,1998,1460,3,1,39816,47743,141,1,139800
31,Toyota,SUV,5,13090,83254,1196,50616,53300,1986,1580,5,1,28119,26367,111,2,88900
32,Nissan,SUV,4,10090,55000,1210,37164,47000,1997,1379,5,1,19906,19906,106,3,59800
33,Lexus,Luxury Sedan,6,15590,61000,1210,68175,53711,1998,1620,4,1,37274,44184,180,1,123800
34,Audi,Luxury Sedan,7,7280,176000,1552,24549,31933,1984,1550,13,1,44257,44257,125,6,56000
35,Mercedes-Benz,Luxury Sedan,6,15510,69000,740,61912,42661,1595,1425,4,1,37239,44135,115,2,126800
36,Nissan,SUV,5,10280,82687,508,37863,52301,1197,1285,5,1,18974,13974,85,2,60800
37,Audi,SUV,4,15790,87000,1194,54838,49602,1984,1845,5,1,36946,43725,132,1,98999
38,Toyota,SUV,9,12670,3708,1198,62371,39000,1987,1530,1,1,30048,34068,127,1,136666
39,BMW,Sports Car,9,46800,4500,4568,192054,40989,4395,1890,3,1,129518,205133,390,1,538800
40,Toyota,SUV,9,13640,13000,1210,59033,35889,1998,1695,2,1,30808,35132,170,1,141800
41,Lexus,SUV,7,13380,37000,1198,57358,31001,1987,1485,3,1,38007,45210,127,2,123800
42,Opel,Hatchback,5,9130,99309,392,30985,51506,999,1188,5,1,19378,5000,77,2,50800
43,Mercedes-Benz,Luxury Sedan,3,16950,70000,740,51387,78001,1595,1425,6,1,35392,31549,115,1,82888
44,Honda,SUV,7,9590,42254,682,39851,32699,1496,1190,3,1,21245,21743,96,1,79888
45,Honda,Mid-Sized Sedan,1,9310,155000,1271,7529,18953,1799,1219,13,1,21141,23256,103,3,18500
46,Hyundai,Mid-Sized Sedan,6,7420,22048,238,26674,28201,1591,1345,4,1,12933,12933,93,1,51111
47,Volkswagen,Hatchback,5,10660,61000,624,38432,52000,1395,1249,5,1,20409,10573,92,1,67800
48,Toyota,MPV,4,14230,57000,1196,46864,58801,1986,1620,6,1,26876,29627,112,2,78800
49,Jaguar,Luxury Sedan,6,14970,42000,1212,96652,52751,1999,1873,7,1,62826,85087,177,2,135800
50,Mercedes-Benz,Luxury Sedan,5,15430,46525,740,55762,46229,1595,1425,5,1,37206,39089,115,1,107800
51,Honda,Luxury Sedan,0,9330,139000,1694,5062,26246,1998,1370,14,1,21236,23360,114,2,9000
52,Honda,SUV,3,11360,121800,682,32433,68589,1496,1190,7,1,18556,8556,96,2,48800
53,Kia,Mid-Sized Sedan,8,8430,12000,738,33806,27000,1591,1287,2,1,14529,14529,93,1,78800
54,Volkswagen,Hatchback,4,12120,46000,624,33263,56209,1395,1249,7,1,22709,13793,90,1,57800
55,Mercedes-Benz,Hatchback,1,14400,112000,740,23702,63000,1595,1425,9,1,27947,22947,115,2,36800
56,Volkswagen,Hatchback,8,8590,170000,744,24169,29328,1390,1286,12,1,24161,24161,118,4,70800
57,Honda,MPV,2,12010,102000,978,27349,77000,1799,1370,8,1,18024,18024,103,1,34800
58,Mazda,Mid-Sized Sedan,5,9030,80000,682,34384,48000,1496,1310,5,1,14777,9777,88,2,55800
59,Honda,Stationwagon,8,8980,51000,682,37839,35010,1496,1130,2,1,19962,9962,95,1,82900
60,Hyundai,Hatchback,8,9770,31800,600,39880,31917,1353,1240,2,1,17951,17951,95,1,89800
61,Subaru,SUV,5,12810,71220,1210,45419,53001,1998,1682,4,1,18274,18274,177,1,85800
62,Honda,Hatchback,6,11950,65000,684,51009,37010,1498,1322,4,1,29833,33767,127,1,99800
63,Toyota,Mid-Sized Sedan,4,9740,50000,742,35810,47300,1598,1205,5,1,17982,17982,90,1,56800
64,Lexus,Luxury Sedan,4,16870,77700,1792,60098,57501,2494,1615,6,1,40884,49238,135,1,99800
65,Toyota,Mid-Sized Sedan,4,9740,52000,742,35810,47300,1598,1205,5,1,17982,17982,90,1,56800
66,Mazda,Hatchback,8,8430,5300,682,34280,38000,1496,1060,2,1,18204,8204,81,1,78800
67,Toyota,Mid-Sized Sedan,5,9860,51000,742,39506,53694,1598,1205,5,1,16800,16800,90,1,57800
68,Toyota,MPV,9,7520,136000,1802,38985,40714,2362,1750,10,1,37052,37052,125,2,72000
69,Toyota,Mid-Sized Sedan,5,9880,54000,742,39506,53694,1598,1205,5,1,16800,16800,90,1,57888
70,Hyundai,Mid-Sized Sedan,8,7980,42121,738,35750,31917,1591,1345,2,1,12631,12631,93,2,72000
71,Mercedes-Benz,Luxury Sedan,1,18570,82000,740,26402,73501,1595,1485,9,1,30136,30136,115,2,39900
72,Toyota,Mid-Sized Sedan,5,10150,59200,742,43635,49430,1598,1215,5,1,19990,19990,90,1,68800
73,Honda,Mid-Sized Sedan,6,8940,37700,684,38125,38000,1497,1078,3,1,15908,15908,88,1,69600
74,Mercedes-Benz,Luxury Sedan,1,17300,170000,974,40652,86889,1796,1615,9,1,50742,50742,135,1,53000
75,Kia,MPV,3,7360,163000,1452,12730,18751,1998,1597,12,1,17209,17209,108,5,25000
76,Mercedes-Benz,Luxury Sedan,1,33520,95000,3164,62924,86889,3498,1975,9,1,95928,95928,225,2,88000
77,Mitsubishi,Hatchback,6,8240,55000,506,30404,42801,1193,940,5,1,14804,5000,59,2,53800
78,Land Rover,SUV,5,26800,69000,2380,126523,55000,2995,2214,5,1,84912,124842,250,2,222800
79,Toyota,Luxury Sedan,7,6440,128088,2129,23902,31553,2362,1540,13,1,27261,27261,123,5,48800
80,Audi,Sports Car,9,9660,130000,1313,35954,38216,1984,1735,11,1,57024,57024,155,3,90888
81,Kia,Mid-Sized Sedan,6,8080,41000,738,35256,38510,1591,1295,4,1,11361,11361,95,1,61800
82,Audi,Luxury Sedan,3,15270,104000,1194,50154,74801,1984,1565,8,1,38197,40476,132,3,70888
83,Honda,Mid-Sized Sedan,7,11760,56000,684,47312,37000,1498,1324,3,1,26476,29067,127,1,98000
84,Toyota,Mid-Sized Sedan,4,8660,36489,242,26655,28002,1598,1205,6,1,19589,19589,90,2,49800
85,Mercedes-Benz,SUV,8,19910,24511,1202,74791,42020,1991,1735,2,1,45235,55329,155,1,196800
86,Subaru,SUV,4,13340,80000,1208,33750,47604,1995,1566,5,1,15515,15515,110,2,71888
87,Volkswagen,Hatchback,3,13890,115000,624,28555,62002,1395,1249,7,1,22719,8807,90,3,55555
88,Land Rover,SUV,5,16380,49809,1212,79068,54556,1999,1841,4,1,50339,62611,177,2,127998
89,Honda,SUV,1,10910,150149,1369,6704,25226,1799,1410,14,1,19569,21526,103,4,14500
90,Ferrari,Sports Car,1,229890,30000,4728,270803,95501,4497,1565,8,1,460829,460829,416,2,648000
91,Honda,Mid-Sized Sedan,1,7900,160000,1271,7594,19356,1799,1219,13,1,21092,21092,103,4,15500
92,Toyota,Mid-Sized Sedan,1,7370,197000,1039,7085,19328,1598,1195,13,1,16994,18694,80,6,13500
93,Honda,Stationwagon,8,8580,23000,682,29723,28589,1496,1130,2,1,18791,8791,97,1,73800
94,Jaguar,Luxury Sedan,5,17900,41100,1212,115932,57508,1999,1804,6,1,79478,115061,177,1,149800
95,Kia,Mid-Sized Sedan,8,8900,15000,738,43521,32999,1591,1287,2,1,19406,19406,93,1,87800
96,BMW,Luxury Sedan,3,18780,138483,1210,65003,73900,1997,1615,7,1,52258,61065,180,1,95888
97,Toyota,SUV,7,13960,45442,1210,51954,31301,1998,1695,3,1,33306,38629,170,1,121800
98,Mercedes-Benz,Hatchback,6,12900,59600,740,46010,51765,1595,1395,4,1,23295,19613,90,1,87800
99,Mercedes-Benz,Luxury Sedan,5,13840,80600,740,49664,50951,1595,1430,5,1,28839,27375,90,3,92800
100,Mercedes-Benz,Luxury Sedan,6,19340,69953,1202,86898,42322,1991,1615,3,1,58503,77306,155,1,170800
101,BMW,Sports Car,4,21530,98730,1210,82235,61001,1997,1700,7,1,59972,79950,180,3,132800
102,Audi,SUV,3,12610,152000,1433,13429,17708,1984,1740,12,1,39396,39396,155,3,47800
103,Volvo,Hatchback,5,10450,70000,684,40882,52301,1498,1450,5,1,22879,19031,90,1,62688
104,Hyundai,Mid-Sized Sedan,3,6400,156000,886,10412,15287,1591,1264,12,1,11400,11400,89,2,21800
105,BMW,SUV,5,13870,60200,684,55418,55000,1499,1430,4,1,30855,30197,100,1,97800
106,Audi,SUV,6,12180,58125,392,46178,36890,999,1315,4,1,26197,28676,85,1,95800
107,Mercedes-Benz,Hatchback,8,14210,21000,586,59363,42564,1332,1405,2,1,29676,33547,100,1,130988
108,Audi,SUV,4,14420,112000,1194,55836,61103,1984,1615,6,1,34828,40760,132,1,84800
109,Hyundai,Mid-Sized Sedan,4,9070,91164,738,34523,51301,1591,1292,6,1,15245,15245,97,2,49800
110,Toyota,Mid-Sized Sedan,2,7130,158289,889,6965,13786,1497,1110,13,1,13245,13245,80,3,18000
111,Kia,SUV,7,7420,29689,70,13617,8920,998,1185,3,1,18847,8847,88,1,62500
112,Mercedes-Benz,Luxury Sedan,5,15100,68000,740,50239,50789,1595,1430,5,1,28839,27375,90,1,101988
113,Suzuki,Hatchback,1,7910,156000,1030,7233,19328,1586,1220,13,1,13600,13600,75,4,14800
114,Nissan,Mid-Sized Sedan,6,8580,71801,742,38342,38000,1598,1205,3,1,16572,16572,85,1,66800
115,Mercedes-Benz,Stationwagon,8,13910,17500,740,48795,27000,1595,1430,2,1,31065,35491,90,1,131988
116,Mercedes-Benz,Stationwagon,7,14030,52000,740,54424,38000,1595,1430,3,1,32133,36987,90,1,116988
117,Toyota,SUV,5,13900,52000,1196,53331,54000,1986,1610,6,1,30008,29012,111,1,95800
118,Honda,Mid-Sized Sedan,7,11900,41738,684,46867,32551,1498,1324,3,1,27562,30587,127,1,102800
119,Honda,Mid-Sized Sedan,8,10080,35000,742,38735,29159,1597,1237,2,1,20084,20118,92,1,91800
